ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2018-10-24 10:05:00,7012.257465410558,2945.377897696282,6242.2063202375675,7012.257465410558,7012.257465410558,-2469.441862919933,-2469.441862919933,-2469.441862919933,-2469.441862919933,-2469.441862919933,-2469.441862919933,0.0,0.0,0.0,4542.815602490626
2018-10-24 10:10:00,7011.568946326874,2664.490001640089,5884.249790466415,7011.568946326874,7011.568946326874,-2701.9061335569036,-2701.9061335569036,-2701.9061335569036,-2701.9061335569036,-2701.9061335569036,-2701.9061335569036,0.0,0.0,0.0,4309.66281276997
2018-10-24 10:15:00,7010.8804272437455,2421.750794390695,5681.4400730034295,7010.8804272437455,7010.8804272437455,-2966.862386949363,-2966.862386949363,-2966.862386949363,-2966.862386949363,-2966.862386949363,-2966.862386949363,0.0,0.0,0.0,4044.0180402943824
2018-10-24 10:30:00,7008.814869994601,1520.8458190557546,4691.325044537966,7008.814869994601,7008.814869994601,-3924.1765448993874,-3924.1765448993874,-3924.1765448993874,-3924.1765448993874,-3924.1765448993874,-3924.1765448993874,0.0,0.0,0.0,3084.638325095214
2018-10-24 10:35:00,7008.126350911555,1122.3629350183398,4427.099255795714,7008.126350911555,7008.126350911555,-4283.610628143227,-4283.610628143227,-4283.610628143227,-4283.610628143227,-4283.610628143227,-4283.610628143227,0.0,0.0,0.0,2724.5157227683285
2018-10-29 08:00:00,6038.002962587338,2137.1862617693428,5419.3427704179885,6038.002962587338,6038.002962587338,-2280.6282473313277,-2280.6282473313277,-2280.6282473313277,-2280.6282473313277,-2280.6282473313277,-2280.6282473313277,0.0,0.0,0.0,3757.37471525601
2018-10-29 08:05:00,6037.31444350407,1829.946642352613,5268.194631742911,6037.31444350407,6037.31444350407,-2589.7060842462147,-2589.7060842462147,-2589.7060842462147,-2589.7060842462147,-2589.7060842462147,-2589.7060842462147,0.0,0.0,0.0,3447.6083592578557
2018-10-29 08:10:00,6036.625925206112,1671.972366312591,4946.846033059469,6036.625925206112,6036.625925206112,-2822.0823040076,-2822.0823040076,-2822.0823040076,-2822.0823040076,-2822.0823040076,-2822.0823040076,0.0,0.0,0.0,3214.5436211985116
2018-10-29 08:30:00,6033.87185201268,1364.6509294096556,4549.151417040928,6033.87185201268,6033.87185201268,-3119.9683947900958,-3119.9683947900958,-3119.9683947900958,-3119.9683947900958,-3119.9683947900958,-3119.9683947900958,0.0,0.0,0.0,2913.9034572225846
2018-10-29 08:35:00,6033.1833337143225,1288.70231264436,4444.943682720804,6033.1833337143225,6033.1833337143225,-3072.6850839884614,-3072.6850839884614,-3072.6850839884614,-3072.6850839884614,-3072.6850839884614,-3072.6850839884614,0.0,0.0,0.0,2960.498249725861
2018-10-29 08:40:00,6032.4948154165,1420.213916249767,4767.724288523136,6032.4948154165,6032.4948154165,-2991.6330443561674,-2991.6330443561674,-2991.6330443561674,-2991.6330443561674,-2991.6330443561674,-2991.6330443561674,0.0,0.0,0.0,3040.861771060333
2018-10-29 09:00:00,6029.740742225102,1907.923514623685,5344.922918135541,6029.740742225102,6029.740742225102,-2477.1189168309998,-2477.1189168309998,-2477.1189168309998,-2477.1189168309998,-2477.1189168309998,-2477.1189168309998,0.0,0.0,0.0,3552.621825394102
2018-10-29 09:05:00,6029.052223927251,1990.475034753553,5426.999422920096,6029.052223927251,6029.052223927251,-2335.953941455622,-2335.953941455622,-2335.953941455622,-2335.953941455622,-2335.953941455622,-2335.953941455622,0.0,0.0,0.0,3693.0982824716293
2018-10-29 09:10:00,6028.363705629409,2284.440707935104,5470.537084654047,6028.363705629409,6028.363705629409,-2202.6736509467337,-2202.6736509467337,-2202.6736509467337,-2202.6736509467337,-2202.6736509467337,-2202.6736509467337,0.0,0.0,0.0,3825.6900546826755
2018-10-29 09:30:00,6025.609632437657,2520.640125662698,5790.164590086837,6025.609632437657,6025.609632437657,-1854.5980735366024,-1854.5980735366024,-1854.5980735366024,-1854.5980735366024,-1854.5980735366024,-1854.5980735366024,0.0,0.0,0.0,4171.011558901055
2018-10-29 09:35:00,6024.921114139718,2542.7469501725823,5832.0114516394715,6024.921114139718,6024.921114139718,-1835.4006862295837,-1835.4006862295837,-1835.4006862295837,-1835.4006862295837,-1835.4006862295837,-1835.4006862295837,0.0,0.0,0.0,4189.5204279101345
2018-10-29 09:40:00,6024.23259584246,2542.662831492427,5749.645048118478,6024.23259584246,6024.23259584246,-1849.7352163568776,-1849.7352163568776,-1849.7352163568776,-1849.7352163568776,-1849.7352163568776,-1849.7352163568776,0.0,0.0,0.0,4174.497379485582
2018-10-29 09:45:00,6023.544077545202,2447.5969410684747,5703.652197277793,6023.544077545202,6023.544077545202,-1899.6080289842844,-1899.6080289842844,-1899.6080289842844,-1899.6080289842844,-1899.6080289842844,-1899.6080289842844,0.0,0.0,0.0,4123.936048560918
2018-10-29 10:00:00,6021.47852265417,2071.9084196185536,5336.106263979731,6021.47852265417,6021.47852265417,-2271.746946946053,-2271.746946946053,-2271.746946946053,-2271.746946946053,-2271.746946946053,-2271.746946946053,0.0,0.0,0.0,3749.731575708117
2018-10-29 10:05:00,6020.790012350079,1812.1021591830731,5181.608589996563,6020.790012350079,6020.790012350079,-2469.4418629884626,-2469.4418629884626,-2469.4418629884626,-2469.4418629884626,-2469.4418629884626,-2469.4418629884626,0.0,0.0,0.0,3551.348149361617
2018-10-29 10:10:00,6020.10150204599,1720.9597943160825,4932.52474480048,6020.10150204599,6020.10150204599,-2701.9061336521972,-2701.9061336521972,-2701.9061336521972,-2701.9061336521972,-2701.9061336521972,-2701.9061336521972,0.0,0.0,0.0,3318.1953683937927
