grid_id,lat,lon,total_vehicles,avg_speed,total_pce_volume,total_crawling,cluster
37.9772_23.7337,37.97722567535923,23.733729321447576,149,35.631839169771155,1772.5,0,2
37.9772_23.7338,37.97722229020858,23.73382954500699,553,13.164586200056217,13750.5,1085,2
37.9772_23.7339,37.9772085046578,23.733910691785262,7122,23.448222494979273,224656.5,92921,0
37.9772_23.734,37.97718628935439,23.73398410609145,8149,30.80347377241353,190384.0,18457,0
37.9772_23.7341,37.97715482382079,23.734055097135055,151,34.30955855093856,274.0,0,2
37.9772_23.7353,37.97717017424243,23.73530965340909,2,13.34791268939394,28.5,0,2
37.9772_23.7354,37.977166876648646,23.735432834493743,48,13.803637875098266,945.5,407,2
37.9772_23.7355,37.977208926527354,23.735521171161594,4447,19.17736905015567,88437.5,28908,2
37.9772_23.7356,37.97720517284951,23.735607688335694,15992,30.052890992346114,393459.0,4043,0
37.9772_23.7357,37.97718228468139,23.73568723087346,10008,19.15662965204032,293883.5,57422,0
37.9772_23.7358,37.977157613455056,23.73576248900042,205,2.0996380906260073,79587.5,92051,2
37.9772_23.7359,37.97715433660131,23.735858081699348,3,9.552297992530345,18.5,0,2
37.9772_23.7363,37.977168562500005,23.736319145833335,2,26.11604791666667,35.5,0,2
37.9772_23.7364,37.97717308459879,23.736424989370207,8,29.017160772858055,114.5,0,2
37.9772_23.7365,37.977198017277004,23.736495311014533,8,22.535431169305358,1945.5,1700,2
37.9772_23.7366,37.977209012287666,23.736596461544224,5,20.50859416487041,1517.5,1068,2
37.9772_23.7367,37.97720563902894,23.736705245686938,2,13.89701188750591,6940.5,6918,2
37.9772_23.7368,37.9772485,23.73675525,1,25.310825,2.0,0,2
37.9772_23.7377,37.977229718840704,23.737737610140137,401,12.999665328826339,11788.0,8984,2
37.9772_23.7378,37.97720508658312,23.73780049679919,6904,25.631291115247375,260802.5,48702,0
37.9772_23.7379,37.97720504359434,23.73787885930872,2345,22.35170893809588,59159.5,13674,2
